subject,difficulty,topic,question,options,answer,hint
informatics,hard,Рекурсивные алгоритмы,Чему равна сложность рекурсивного вычисления n-го числа Фибоначчи без мемоизации?,"[""O(2ⁿ)"", ""O(n)"", ""O(n²)"", ""O(log n)""]",O(2ⁿ),Каждый вызов порождает два новых вызова
informatics,hard,Комбинаторные алгоритмы,Сколько перестановок можно составить из 4 различных элементов?,"[""24"", ""16"", ""12"", ""4""]",24,n! = 4!
informatics,hard,Машина Тьюринга,Что является основным компонентом машины Тьюринга?,"[""Бесконечная лента и головка"", ""Процессор и память"", ""Стек и очередь"", ""Граф и вершины""]",Бесконечная лента и головка,Абстрактная модель вычислений с лентой символов
informatics,hard,Теория автоматов,Какой автомат может распознавать контекстно-свободные языки?,"[""Автомат с магазинной памятью"", ""Конечный автомат"", ""Машина Тьюринга"", ""Линейно ограниченный автомат""]",Автомат с магазинной памятью,Использует стек для хранения информации
informatics,hard,NP-полные задачи,Какая из задач является NP-полной?,"[""Задача коммивояжёра"", ""Сортировка"", ""Бинарный поиск"", ""Нахождение минимума""]",Задача коммивояжёра,Не известен полиномиальный алгоритм решения
informatics,hard,RSA,На чём основана стойкость алгоритма RSA?,"[""Сложность факторизации больших чисел"", ""Дискретное логарифмирование"", ""Проблема рюкзака"", ""Сложность хеширования""]",Сложность факторизации больших чисел,Трудно разложить произведение двух больших простых чисел
informatics,hard,Сжатие данных,К какому типу относится алгоритм сжатия JPEG?,"[""С потерями"", ""Без потерь"", ""Архивация"", ""Шифрование""]",С потерями,Часть информации теряется при сжатии
informatics,hard,Параллельное программирование,Что такое deadlock?,"[""Взаимная блокировка потоков"", ""Переполнение памяти"", ""Бесконечный цикл"", ""Ошибка синтаксиса""]",Взаимная блокировка потоков,Потоки ждут друг друга и не могут продолжить
informatics,hard,Сетевые протоколы,На каком уровне модели OSI работает протокол TCP?,"[""Транспортный"", ""Сетевой"", ""Канальный"", ""Прикладной""]",Транспортный,4-й уровень модели OSI
informatics,hard,Алгоритмы на графах,Какой алгоритм используется для поиска минимального остовного дерева?,"[""Алгоритм Краскала"", ""Алгоритм Дейкстры"", ""Алгоритм Флойда"", ""BFS""]",Алгоритм Краскала,"Жадный алгоритм, добавляющий рёбра в порядке возрастания веса"
informatics,hard,Теория информации,Чему равна энтропия источника с двумя равновероятными символами?,"[""1 бит"", ""2 бита"", ""0,5 бит"", ""0 бит""]",1 бит,H = -Σ p·log₂(p)
informatics,hard,Формальные языки,Какой тип грамматик порождает регулярные языки?,"[""Тип 3 (регулярные)"", ""Тип 2 (контекстно-свободные)"", ""Тип 1 (контекстно-зависимые)"", ""Тип 0 (неограниченные)""]",Тип 3 (регулярные),По классификации Хомского
informatics,hard,Нормализация БД,Какую аномалию устраняет третья нормальная форма?,"[""Транзитивные зависимости"", ""Повторяющиеся группы"", ""Частичные зависимости"", ""Многозначные зависимости""]",Транзитивные зависимости,3НФ: нет зависимостей неключевых атрибутов от других неключевых
informatics,hard,Оптимизация,Какой метод оптимизации используется в нейронных сетях?,"[""Градиентный спуск"", ""Линейное программирование"", ""Симплекс-метод"", ""Метод ветвей и границ""]",Градиентный спуск,Итеративное уменьшение функции потерь
russian,easy,Части речи,К какой части речи относится слово 'красивый'?,"[""Прилагательное"", ""Существительное"", ""Глагол"", ""Наречие""]",Прилагательное,Отвечает на вопрос 'какой?'
russian,easy,Члены предложения,Каким членом предложения является подлежащее?,"[""Главным"", ""Второстепенным"", ""Однородным"", ""Обособленным""]",Главным,Подлежащее и сказуемое — главные члены
russian,easy,Правописание гласных,Какую букву нужно вставить: в_да?,"[""о"", ""а"", ""е"", ""и""]",о,Проверочное слово — 'воды'
russian,easy,Правописание ЖИ-ШИ,Как правильно написать: ж_знь?,"[""жизнь"", ""жызнь"", ""жезнь"", ""жазнь""]",жизнь,ЖИ-ШИ пиши с буквой И
russian,easy,Правописание ЧА-ЩА,Как правильно написать: ч_ща?,"[""чаща"", ""чяща"", ""чащя"", ""чеща""]",чаща,ЧА-ЩА пиши с буквой А
russian,easy,Мягкий знак,В каком слове пишется мягкий знак?,"[""ночь"", ""врач"", ""плащ"", ""мяч""]",ночь,Ь пишется в существительных 3-го склонения
russian,easy,Заглавная буква,Какое слово пишется с заглавной буквы?,"[""Москва"", ""город"", ""столица"", ""река""]",Москва,Имена собственные пишутся с большой буквы
russian,easy,Знаки препинания,Какой знак ставится в конце повествовательного предложения?,"[""Точка"", ""Вопросительный знак"", ""Восклицательный знак"", ""Двоеточие""]",Точка,Повествовательное предложение сообщает о чём-либо
russian,easy,Антонимы,Какое слово является антонимом к слову 'горячий'?,"[""Холодный"", ""Тёплый"", ""Жаркий"", ""Прохладный""]",Холодный,Антонимы — слова с противоположным значением
russian,easy,Синонимы,Какое слово является синонимом к слову 'большой'?,"[""Огромный"", ""Маленький"", ""Средний"", ""Узкий""]",Огромный,Синонимы — слова с близким значением
russian,easy,Ударение,В каком слове ударение падает на второй слог?,"[""Звонит"", ""Торты"", ""Банты"", ""Краны""]",Звонит,ЗвонИт — ударение на последнем слоге
russian,easy,Слоги,Сколько слогов в слове 'молоко'?,"[""3"", ""2"", ""4"", ""5""]",3,"Сколько гласных, столько и слогов"
russian,easy,Однокоренные слова,Какое слово однокоренное к слову 'лес'?,"[""Лесник"", ""Листок"", ""Лестница"", ""Лиса""]",Лесник,Однокоренные слова имеют общий корень и значение
russian,easy,Приставки,Какая приставка в слове 'выход'?,"[""вы-"", ""в-"", ""вых-"", ""выхо-""]",вы-,Приставка стоит перед корнем
russian,easy,Суффиксы,Какой суффикс в слове 'домик'?,"[""-ик"", ""-к"", ""-ом"", ""-дом""]",-ик,Суффикс стоит после корня
russian,easy,Род существительных,Какого рода слово 'окно'?,"[""Среднего"", ""Мужского"", ""Женского"", ""Общего""]",Среднего,Можно подставить местоимение 'оно'
russian,easy,Число существительных,В каком числе стоит слово 'книги'?,"[""Множественном"", ""Единственном"", ""Двойственном"", ""Собирательном""]",Множественном,Обозначает несколько предметов
russian,easy,Падежи,Какой падеж отвечает на вопросы 'кого? чего?'?,"[""Родительный"", ""Дательный"", ""Винительный"", ""Именительный""]",Родительный,Нет кого? чего?
russian,easy,Времена глаголов,В каком времени стоит глагол 'читал'?,"[""Прошедшем"", ""Настоящем"", ""Будущем"", ""Неопределённом""]",Прошедшем,Действие уже произошло
russian,easy,Лицо глаголов,Какого лица глагол 'читаю'?,"[""1-го лица"", ""2-го лица"", ""3-го лица"", ""Безличный""]",1-го лица,Я читаю
russian,medium,Причастия,Какое слово является причастием?,"[""Читающий"", ""Читать"", ""Чтение"", ""Читатель""]",Читающий,Причастие отвечает на вопрос 'какой?' и образуется от глагола
russian,medium,Деепричастия,Какое слово является деепричастием?,"[""Читая"", ""Читающий"", ""Прочитанный"", ""Чтение""]",Читая,Деепричастие отвечает на вопросы 'что делая? что сделав?'
russian,medium,Сложные предложения,Какое предложение является сложносочинённым?,"[""Солнце светило, и птицы пели."", ""Когда пришла весна, снег растаял."", ""Дом, который построил Джек."", ""Я знаю, что ты придёшь.""]","Солнце светило, и птицы пели.",Части ССП соединены сочинительным союзом
russian,medium,Однородные члены,Нужна ли запятая: 'Он купил хлеб_ и молоко'?,"[""Нет"", ""Да"", ""Зависит от интонации"", ""Нужно тире""]",Нет,Между однородными членами с одиночным союзом И запятая не ставится
russian,medium,Обособления,Нужны ли запятые: 'Мой друг_ живущий в Москве_ приехал'?,"[""Да, обе"", ""Нет"", ""Только первая"", ""Только вторая""]","Да, обе",Причастный оборот после определяемого слова обособляется
russian,medium,Прямая речь,Как правильно оформить прямую речь: Он сказал_ Идём домой?,"[""Он сказал: «Идём домой»."", ""Он сказал, Идём домой."", ""Он сказал - Идём домой."", ""Он сказал; «Идём домой».""]",Он сказал: «Идём домой».,"После слов автора ставится двоеточие, прямая речь в кавычках"
russian,medium,Н и НН в прилагательных,Сколько букв Н в слове 'серебря_ый'?,"[""Одна (серебряный)"", ""Две (серебрянный)"", ""Три"", ""Ни одной""]",Одна (серебряный),"Суффикс -ЯН- пишется с одной Н (исключения: стеклянный, оловянный, деревянный)"
